data,ITH31,ITH32,ITH33,ITH34,ITH35,ITH36,ITH37
2020-02-25,,,,1.0,7.0,30.0,
2020-02-26,,,,2.0,8.0,40.0,
2020-02-27,,3.0,,22.0,14.0,59.0,
2020-02-28,,3.0,,23.0,15.0,68.0,
2020-02-29,,3.0,,35.0,19.0,81.0,
2020-03-01,2.0,3.0,,43.0,24.0,105.0,
2020-03-02,8.0,3.0,3.0,72.0,48.0,135.0,
2020-03-03,17.0,5.0,5.0,82.0,48.0,144.0,1.0
2020-03-04,21.0,10.0,7.0,86.0,59.0,162.0,4.0
2020-03-05,25.0,19.0,7.0,89.0,73.0,175.0,5.0
2020-03-06,42.0,24.0,7.0,103.0,85.0,198.0,5.0
2020-03-07,52.0,37.0,11.0,110.0,100.0,216.0,5.0
2020-03-08,63.0,50.0,23.0,126.0,126.0,255.0,5.0
2020-03-09,73.0,53.0,29.0,136.0,130.0,273.0,7.0
2020-03-10,96.0,73.0,29.0,158.0,152.0,296.0,10.0
2020-03-11,110.0,92.0,30.0,185.0,179.0,373.0,14.0
2020-03-12,150.0,122.0,48.0,279.0,205.0,439.0,13.0
2020-03-13,210.0,141.0,59.0,327.0,248.0,523.0,16.0
2020-03-14,275.0,164.0,78.0,376.0,282.0,611.0,27.0
2020-03-15,335.0,235.0,82.0,413.0,328.0,658.0,27.0
2020-03-16,425.0,287.0,101.0,452.0,356.0,715.0,27.0
2020-03-17,481.0,325.0,109.0,502.0,378.0,781.0,28.0
2020-03-18,626.0,393.0,140.0,591.0,426.0,882.0,33.0
2020-03-19,686.0,424.0,150.0,637.0,475.0,924.0,52.0
2020-03-20,784.0,518.0,195.0,719.0,574.0,1026.0,67.0
2020-03-21,954.0,572.0,212.0,806.0,666.0,1155.0,68.0
2020-03-22,1046.0,631.0,226.0,935.0,732.0,1277.0,76.0
2020-03-23,1099.0,691.0,254.0,999.0,799.0,1371.0,80.0
2020-03-24,1228.0,744.0,273.0,1091.0,837.0,1464.0,82.0
2020-03-25,1304.0,824.0,298.0,1177.0,874.0,1636.0,87.0
2020-03-26,1402.0,899.0,313.0,1254.0,920.0,1777.0,110.0
2020-03-27,1645.0,966.0,329.0,1310.0,955.0,1891.0,122.0
2020-03-28,1754.0,1036.0,367.0,1359.0,1019.0,2009.0,122.0
2020-03-29,1876.0,1104.0,396.0,1402.0,1067.0,2124.0,125.0
2020-03-30,1982.0,1168.0,423.0,1449.0,1107.0,2188.0,131.0
2020-03-31,2112.0,1242.0,430.0,1522.0,1170.0,2264.0,136.0
2020-04-01,2287.0,1327.0,460.0,1554.0,1231.0,2368.0,140.0
2020-04-02,2405.0,1434.0,487.0,1606.0,1293.0,2489.0,152.0
2020-04-03,2488.0,1514.0,499.0,1657.0,1321.0,2553.0,180.0
2020-04-04,2547.0,1608.0,522.0,1687.0,1362.0,2632.0,184.0
2020-04-05,2688.0,1647.0,538.0,1712.0,1425.0,2744.0,186.0
2020-04-06,2755.0,1704.0,558.0,1726.0,1487.0,2863.0,203.0
2020-04-07,2856.0,1734.0,577.0,1738.0,1543.0,2965.0,218.0
2020-04-08,2920.0,1782.0,602.0,1863.0,1630.0,3056.0,232.0
2020-04-09,3049.0,1885.0,620.0,1906.0,1751.0,3134.0,249.0
2020-04-10,3257.0,1953.0,649.0,1944.0,1780.0,3206.0,271.0
2020-04-11,3402.0,2009.0,653.0,1973.0,1883.0,3250.0,274.0
