Entity,Code,Day,Alpha,Beta,Gamma,Delta,Omicron (BA.1),Omicron (BA.2),Omicron (BA.2.12.1),Omicron (BA.2.75),Omicron (BA.4),Omicron (BA.5),Omicron (BQ.1),Omicron (XBB),Omicron (XBB.1.5),Omicron (XBB.1.16),Omicron (CH.1.1),Omicron (XBB.1.9),Omicron (XBB.2.3),Omicron (EG.5.1),Recombinant,non_who
Albania,ALB,2021-12-06,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2021-12-20,0,0,0,311,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-01-31,0,0,0,11,175,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-02-14,0,0,0,8,223,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-02-28,0,0,0,1,85,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,2022-07-18,0,0,0,0,0,4,1,0,2,99,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,2022-08-01,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
Argentina,ARG,2021-03-15,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
Argentina,ARG,2021-03-29,32,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115
Argentina,ARG,2021-04-12,36,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
Argentina,ARG,2021-04-26,55,1,159,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121
Argentina,ARG,2021-05-10,35,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60
Argentina,ARG,2021-05-24,42,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Argentina,ARG,2021-06-07,42,0,219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Argentina,ARG,2021-06-21,31,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Argentina,ARG,2021-07-05,26,0,260,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Argentina,ARG,2021-07-19,12,0,249,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Argentina,ARG,2021-08-02,12,0,199,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Argentina,ARG,2021-08-16,11,0,282,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
